,Date,PRICECATEGORY,Max of TOTALDEMAND,Time,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
30,2021-01-31,0,4709.83,19:00:00,16.4,21.8,0.0,4.0,10.3,S,39.0,16:39,17.8,55.0,7,SE,13.0,1018.6,19.9,55,1.0,SSW,19,1017.2
31,2021-02-01,0,5228.29,07:00:00,13.4,20.3,0.0,7.4,1.6,S,33.0,21:08,16.9,76.0,7,N,7.0,1012.8,19.4,69,7.0,S,13,1011.9
32,2021-02-02,0,5133.34,07:00:00,14.5,19.3,0.0,3.0,3.4,SSW,41.0,14:52,16.7,56.0,7,S,15.0,1016.5,18.2,47,7.0,SSW,20,1017.3
33,2021-02-03,0,5344.15,19:00:00,13.7,25.9,0.0,5.4,13.1,SE,33.0,16:58,16.5,66.0,5,SSE,11.0,1016.5,24.1,44,2.0,SE,7,1011.1
34,2021-02-04,0,6015.71,18:30:00,13.5,30.6,0.0,6.6,4.1,NNW,43.0,12:58,17.3,72.0,7,NE,7.0,1005.5,29.2,32,7.0,N,28,1002.7
35,2021-02-05,0,5852.98,13:00:00,17.3,29.8,0.4,7.8,8.9,NNW,52.0,10:27,24.1,62.0,7,NNE,19.0,1000.5,25.9,63,7.0,NNE,24,997.5
36,2021-02-06,0,4560.49,19:30:00,16.9,25.4,1.6,9.0,9.5,NW,39.0,11:44,18.6,59.0,7,N,17.0,998.5,23.7,45,7.0,NW,11,999.5
37,2021-02-07,0,4573.98,20:00:00,14.7,19.2,1.8,5.6,2.0,SSW,37.0,11:23,15.5,89.0,7,W,7.0,1011.5,17.4,69,7.0,S,17,1013.7
38,2021-02-08,0,5047.36,07:00:00,15.0,19.2,0.4,4.0,1.7,SW,35.0,13:14,15.9,59.0,7,SSE,13.0,1017.5,18.5,60,7.0,S,17,1017.6
39,2021-02-09,1,5511.16,18:30:00,12.0,25.2,0.0,4.0,12.7,SSW,28.0,14:00,16.9,71.0,4,SSE,11.0,1018.4,23.3,50,1.0,SSW,13,1014.5
40,2021-02-10,0,7009.15,18:00:00,13.8,31.5,0.0,7.4,11.6,NNW,30.0,11:22,17.2,77.0,1,NNE,7.0,1015.1,28.3,43,2.0,SSW,15,1010.5
